id,year,value
AFG,1800,3280000
AFG,1820,3280000
AFG,1870,4207000
AFG,1913,5730000
AFG,1950,8151455
AFG,1951,8276820
AFG,1952,8407148
AFG,1953,8542906
AFG,1954,8684494
AFG,1955,8832253
AFG,1956,8986449
AFG,1957,9147286
AFG,1958,9314915
AFG,1959,9489453
AFG,1960,9671046
AFG,1961,9859928
AFG,1962,10056480
AFG,1963,10261254
AFG,1964,10474903
AFG,1965,10697983
AFG,1966,10927724
AFG,1967,11163656
AFG,1968,11411022
AFG,1969,11676990
AFG,1970,11964906
AFG,1971,12273101
AFG,1972,12593688
AFG,1973,12915499
AFG,1974,13223928
AFG,1975,13505544
AFG,1976,13766792
AFG,1977,14003408
AFG,1978,14179656
AFG,1979,14249493
AFG,1980,14185729
AFG,1981,13984092
AFG,1982,13672870
AFG,1983,13300056
AFG,1984,12931791
AFG,1985,12625292
AFG,1986,12372113
AFG,1987,12183387
AFG,1988,12156685
AFG,1989,12414686
AFG,1990,13032161
AFG,1991,14069854
AFG,1992,15472076
AFG,1993,17053213
AFG,1994,18553819
AFG,1995,19789880
AFG,1996,20684982
AFG,1997,21299350
AFG,1998,21752257
AFG,1999,22227543
AFG,2000,22856302
AFG,2001,23677385
AFG,2002,24639841
AFG,2003,25678639
AFG,2004,26693486
AFG,2005,27614718
AFG,2006,28420974
AFG,2007,29145841
AFG,2008,29839994
AFG,2009,30577756
AFG,2010,31411743
AFG,2011,32358260
AFG,2012,33397058
AFG,2013,34499915
AFG,2050,76249991
AFG,2100,110878627
_AKR,1800,3710
_AKR,2005,15700
_AKR,2008,15700
ALB,1600,200000
ALB,1700,300000
ALB,1800,410445
ALB,1820,437000
ALB,1850,500000
ALB,1870,603000
ALB,1890,726000
ALB,1900,800000
ALB,1910,874000
ALB,1913,898000
ALB,1920,932000
ALB,1921,937000
ALB,1922,942000
ALB,1923,947000
ALB,1924,952000
ALB,1925,956000
ALB,1926,962000
ALB,1927,967000
ALB,1928,972000
ALB,1929,977000
ALB,1930,982000
ALB,1931,988000
ALB,1932,993000
ALB,1933,998000
ALB,1934,1003000
ALB,1935,1009000
ALB,1936,1014000
ALB,1937,1030000
ALB,1938,1040000
ALB,1939,1070000
ALB,1940,1088000
ALB,1941,1100000
ALB,1942,1117000
ALB,1943,1119000
ALB,1944,1122000
ALB,1945,1138000
ALB,1946,1154000
ALB,1947,1175000
ALB,1948,1192000
ALB,1949,1209000
ALB,1950,1215002
ALB,1951,1239971
ALB,1952,1269302
ALB,1953,1302536
ALB,1954,1339240
ALB,1955,1378998
ALB,1956,1421417
ALB,1957,1466124
ALB,1958,1512765
ALB,1959,1561012
ALB,1960,1610565
ALB,1961,1661158
ALB,1962,1712563
ALB,1963,1764593
ALB,1964,1817098
ALB,1965,1869942
ALB,1966,1922993
ALB,1967,1976140
ALB,1968,2029314
ALB,1969,2082474
ALB,1970,2135599
ALB,1971,2188650
ALB,1972,2241623
ALB,1973,2294578
ALB,1974,2347607
ALB,1975,2400801
ALB,1976,2454255
ALB,1977,2508026
ALB,1978,2562121
