id,year,value
world,-10000,4000000
world,-5000,5000000
world,-4000,7000000
world,-3000,14000000
world,-2000,27000000
world,-1000,50000000
world,-500,100000000
world,-200,150000000
world,1,170000000
world,200,190000000
world,400,190000000
world,500,190000000
world,600,200000000
world,700,207000000
world,800,224000000
world,900,226000000
world,1000,254000000
world,1100,301000000
world,1200,400000000
world,1250,416000000
world,1300,432000000
world,1340,443000000
world,1400,374000000
world,1500,460000000
world,1600,579000000
world,1650,579000000
world,1700,679000000
world,1750,770000000
world,1800,954000000
world,1850,1241000000
world,1900,1658007239
world,1910,1758492526
world,1920,1869026342
world,1930,2080045445
world,1940,2311161605
world,1950,2532229237
world,1951,2580959811
world,1952,2628448169
world,1953,2675766194
world,1954,2723726367
world,1955,2772881677
world,1956,2823513099
world,1957,2875642147
world,1958,2929068760
world,1959,2983434676
world,1960,3038412766
world,1961,3093909471
world,1962,3150241630
world,1963,3208212366
world,1964,3268896174
world,1965,3333007049
world,1966,3400823017
world,1967,3471955133
world,1968,3545612656
world,1969,3620652065
world,1970,3696186306
world,1971,3772048386
world,1972,3848319463
world,1973,3924667649
world,1974,4000764130
world,1975,4076419207
world,1976,4151409530
world,1977,4225863840
world,1978,4300401689
world,1979,4375899125
world,1980,4453007478
world,1981,4531799255
world,1982,4612119820
world,1983,4694097271
world,1984,4777827832
world,1985,4863289935
world,1986,4950590704
world,1987,5039478411
world,1988,5129112573
world,1989,5218374508
world,1990,5306425154
world,1991,5392938741
world,1992,5478009489
world,1993,5561743942
world,1994,5644416076
world,1995,5726239315
world,1996,5807211831
world,1997,5887259665
world,1998,5966464736
world,1999,6044931358
world,2000,6122770220
world,2001,6200002758
world,2002,6276721836
world,2003,6353195588
world,2004,6429757631
world,2005,6506649175
world,2006,6583958568
world,2007,6661637460
world,2008,6739610289
world,2009,6817737123
world,2010,6895889018
world,2011,6974036375
world,2012,7052135305
world,2013,7130013742
world,2014,7207459699
world,2015,7284295605
world,2016,7360430365
world,2017,7435809902
world,2018,7510341273
world,2019,7583937977
world,2020,7656527984
world,2021,7728045547
world,2022,7798450433
world,2023,7867733981
world,2024,7935907675
world,2025,8002978434
world,2026,8068924930
world,2027,8133725479
world,2028,8197389928
world,2029,8259937021
world,2030,8321379610
world,2031,8381712763
world,2032,8440926484
world,2033,8499022499
world,2034,8556003262
world,2035,8611867242
world,2036,8666610491
world,2037,8720221158
world,2038,8772679348
world,2039,8823960010
world,2040,8874041160
world,2041,8922914913
world,2042,8970572922
world,2043,9016992707
world,2044,9062148556
world,2045,9106021879
world,2046,9148607668
world,2047,9189908717
world,2048,9229925704
world,2049,9268662822
world,2050,9306127986
world,2051,9342330571
world,2052,9377285472
world,2053,9411015239
world,2054,9443547527
world,2055,9474910809
world,2056,9505127636
world,2057,9534224155
world,2058,9562238477
world,2059,9589213450
world,2060,9615189333
world,2061,9640194718
world,2062,9664258196
world,2063,9687419819
world,2064,9709722085
world,2065,9731202367
world,2066,9751891457
world,2067,9771811576
world,2068,9790979916
world,2069,9809408910
world,2070,9827112719
world,2071,9844115162
world,2072,9860439668
world,2073,9876099194
world,2074,9891104145
world,2075,9905468641
world,2076,9919212444
world,2077,9932361574
world,2078,9944944620
world,2079,9956993404
world,2080,9968538316
world,2081,9979599063
world,2082,9990198603
world,2083,10000374225
world,2084,10010167419
world,2085,10019612003
world,2086,10028730363
world,2087,10037533188
world,2088,10046026993
world,2089,10054212205
world,2090,10062090338
world,2091,10069666412
world,2092,10076948129
world,2093,10083943838
world,2094,10090660232
world,2095,10097100262
world,2096,10103262343
world,2097,10109140021
world,2098,10114721686
world,2099,10119990877
world,2100,10124926196
