id,year,value
ASI,1800,633276064
ASI,1801,636498146
ASI,1802,639744442
ASI,1803,643015154
ASI,1804,646310486
ASI,1805,649630639
ASI,1806,652975815
ASI,1807,656346227
ASI,1808,659742076
ASI,1809,663163577
ASI,1810,666610945
ASI,1811,670084387
ASI,1812,673584121
ASI,1813,677110364
ASI,1814,680663337
ASI,1815,684243259
ASI,1816,687850355
ASI,1817,691484848
ASI,1818,695146969
ASI,1819,698836942
ASI,1820,702555001
ASI,1821,706561134
ASI,1822,710594757
ASI,1823,714657065
ASI,1824,718749254
ASI,1825,722866516
ASI,1826,727007063
ASI,1827,731176096
ASI,1828,735372809
ASI,1829,739599419
ASI,1830,743858122
ASI,1831,745528883
ASI,1832,747209789
ASI,1833,748904901
ASI,1834,750602279
ASI,1835,752306993
ASI,1836,754016721
ASI,1837,755733570
ASI,1838,757469249
ASI,1839,759214538
ASI,1840,760975341
ASI,1841,762458992
ASI,1842,763940300
ASI,1843,765420342
ASI,1844,766910876
ASI,1845,768412340
ASI,1846,769921811
ASI,1847,771442397
ASI,1848,772979191
ASI,1849,774543288
ASI,1850,776107799
ASI,1851,774192365
ASI,1852,772363233
ASI,1853,770588253
ASI,1854,768863271
ASI,1855,767185168
ASI,1856,765535804
ASI,1857,763938055
ASI,1858,762370829
ASI,1859,760811000
ASI,1860,759296488
ASI,1861,759182897
ASI,1862,759108028
ASI,1863,759069985
ASI,1864,759067954
ASI,1865,759089079
ASI,1866,759121538
ASI,1867,759164513
ASI,1868,759246183
ASI,1869,759348769
ASI,1870,759450481
ASI,1871,762877583
ASI,1872,766508323
ASI,1873,770060316
ASI,1874,773525063
ASI,1875,776888242
ASI,1876,780299971
ASI,1877,783898544
ASI,1878,787463550
ASI,1879,790965823
ASI,1880,794806373
ASI,1881,798651842
ASI,1882,802376414
ASI,1883,806429548
ASI,1884,810469394
ASI,1885,814681206
ASI,1886,818797129
ASI,1887,822881794
ASI,1888,827095952
ASI,1889,831262976
ASI,1890,835951604
ASI,1891,840718927
ASI,1892,845785162
ASI,1893,850380014
ASI,1894,855559404
ASI,1895,860996232
ASI,1896,866212860
ASI,1897,871696211
ASI,1898,877281469
ASI,1899,882871646
ASI,1900,888487277
ASI,1901,894423934
ASI,1902,900190955
ASI,1903,906028619
ASI,1904,911859925
ASI,1905,917724995
ASI,1906,923479389
ASI,1907,929276336
ASI,1908,935273367
ASI,1909,941375655
ASI,1910,947580345
ASI,1911,956374177
ASI,1912,965156162
ASI,1913,974019313
ASI,1914,983554251
ASI,1915,993087989
ASI,1916,1002639951
ASI,1917,1012008433
ASI,1918,1021312638
ASI,1919,1031098985
ASI,1920,1041362708
ASI,1921,1048098178
ASI,1922,1055004633
ASI,1923,1062025215
ASI,1924,1069079022
ASI,1925,1076299233
ASI,1926,1083584404
ASI,1927,1090973518
ASI,1928,1098502602
ASI,1929,1105915512
ASI,1930,1115830614
ASI,1931,1127898459
ASI,1932,1140199628
ASI,1933,1152491072
ASI,1934,1163840810
ASI,1935,1175592850
ASI,1936,1187105471
ASI,1937,1199205115
ASI,1938,1210807341
ASI,1939,1222483622
ASI,1940,1234115603
ASI,1941,1246182558
ASI,1942,1257761377
ASI,1943,1269405374
ASI,1944,1280843208
ASI,1945,1289971837
ASI,1946,1303409405
ASI,1947,1317785915
ASI,1948,1331971609
ASI,1949,1347366343
ASI,1950,1378906649
ASI,1951,1409642485
ASI,1952,1438001455
ASI,1953,1465326654
ASI,1954,1492643743
ASI,1955,1520654361
ASI,1956,1549729004
ASI,1957,1579916609
ASI,1958,1610994011
ASI,1959,1642542940
ASI,1960,1674183611
ASI,1961,1705821294
ASI,1962,1737865899
ASI,1963,1771324492
ASI,1964,1807537125
ASI,1965,1847399562
ASI,1966,1891272721
ASI,1967,1938695056
ASI,1968,1988711872
ASI,1969,2039937585
ASI,1970,2091295841
ASI,1971,2142580668
ASI,1972,2193897306
ASI,1973,2244883516
ASI,1974,2295192837
ASI,1975,2344623719
ASI,1976,2392925434
ASI,1977,2440217563
ASI,1978,2487152989
ASI,1979,2534659674
ASI,1980,2583428534
ASI,1981,2633570694
ASI,1982,2684930837
ASI,1983,2737594468
ASI,1984,2791593642
ASI,1985,2846879148
ASI,1986,2903540838
ASI,1987,2961400073
ASI,1988,3019789581
ASI,1989,3077820455
ASI,1990,3134822908
ASI,1991,3190515632
ASI,1992,3244959172
ASI,1993,3298249396
ASI,1994,3350622258
ASI,1995,3402245474
ASI,1996,3453125256
ASI,1997,3503151785
ASI,1998,3552257516
ASI,1999,3600352316
ASI,2000,3647397546
ASI,2001,3693361241
ASI,2002,3738340780
ASI,2003,3782587477
ASI,2004,3826437174
ASI,2005,3870139074
ASI,2006,3913763316
ASI,2007,3957266440
ASI,2008,4000638078
ASI,2009,4043828635
ASI,2010,4086780938
ASI,2011,4129504738
ASI,2012,4171962458
ASI,2013,4213982583
ASI,2014,4255341027
ASI,2015,4295861787
ASI,2016,4335465068
ASI,2017,4374139814
ASI,2018,4411863898
ASI,2019,4448639293
ASI,2020,4484461978
ASI,2021,4519299487
ASI,2022,4553113542
ASI,2023,4585892310
ASI,2024,4617630277
ASI,2025,4648322136
ASI,2026,4677953770
ASI,2027,4706514792
ASI,2028,4734009783
ASI,2029,4760448873
ASI,2030,4785838162
ASI,2031,4810175536
